Keyword,Tracked,Campaigns,Min Monthly Volume,Max Monthly Volume,Relevancy,Monthly Volume,Search Intent,Difficulty,Last Updated,Top queries,Clicks,Impressions,CTR,Position,_merge,Primary Keyword,Supporting Keywords
cartoon dogs,FALSE,,6501,9300,0.007686942075819866,8818.0,informational,45.0,2024-07-15,,,,,,left_only,cartoon dogs,"famous dogs names, famous dogs names, famous dogs names, cartoon dogs names, famous dog cartoon characters, famous dog cartoon characters, famous cartoon cats, celebs dogs, celebs dogs, celebs dogs"
grumpy cat memes,FALSE,,6501,9300,0.007385914295561561,9050.0,informational,53.0,2024-07-11,,,,,,left_only,grumpy cat memes,"is grumpy cat dead, does grumpy cat have down syndrome, what kind of cat is grumpy cat?, where does grumpy cat live?, grumpy cat breed, is grumpy cat still alive?, what is grumpy cat's real name?, what breed is grumpy cat?"
email marketing,FALSE,,6501,9300,0.004923938660223855,7400.0,informational,70.0,2024-07-26,,,,,,left_only,email marketing,"targeted marketing, marketing campaigns, marketing message, marketing professionals, influence marketing, internet marketing, social media marketing"
animal shelters near me no kill,FALSE,,501,850,0.007388170836756836,572.0,transactional,38.0,2024-02-02,,,,,,left_only,animal shelters near me no kill,animal shelters
product service,FALSE,,501,850,0.004726981113814902,641.0,informational,40.0,2024-07-10,,,,,,left_only,product service,"dog product modeling program, dog product modeling program, dog product modeling program"
online tools,FALSE,,501,850,0.004825459887019378,800.0,commercial,44.0,2024-07-18,,,,,,left_only,online tools,"online communities, social media tools, online users, online sites, online community, online space, online social networks"
targeted marketing,FALSE,,501,850,0.004726981113814902,785.0,informational,49.0,2024-07-24,,,,,,left_only,,
social media managers,FALSE,,501,850,0.004726981113814902,598.0,informational,52.0,2024-01-28,,,,,,left_only,social media managers,"social media tools, social media profiles, social media channels, peter lyn rene the influence of social media, social media marketing, social influence, social media campaigns, social media platforms, biggest social media influencers, how media influence, how media influence"
online communities,FALSE,,501,850,0.0050224174334283335,800.0,informational,52.0,2024-07-25,,,,,,left_only,,
thought leaders,FALSE,,501,850,0.004923938660223855,758.0,informational,55.0,2024-07-09,,,,,,left_only,thought leaders,
colonel meow,FALSE,,501,850,0.007739961655852373,669.0,informational,58.0,2023-11-13,,,,,,left_only,colonel meow,
marketing campaigns,FALSE,,501,850,0.004726981113814902,744.0,informational,59.0,2024-07-18,,,,,,left_only,,
social media tools,FALSE,,501,850,0.0050224174334283335,756.0,commercial,65.0,2024-07-24,,,,,,left_only,,
social platforms,FALSE,,501,850,0.004825459887019378,660.0,informational,70.0,2024-07-22,,,,,,left_only,social platforms,"social web, social platform, social sites, social influence, social data, social channels, social media platforms"
influencer,FALSE,,30301,70800,0.005317853753041765,55000.0,navigational,64.0,2024-07-16,,,,,,left_only,influencer,"how.to.become a pet influencer, how.to.become a pet influencer, dog influencer agency, dog influencer agency, dog influencer agency, should a pet influencer attend, dog trainer influencer, dog trainer influencer, dog trainer influencer, youtube peoplewith pet influencer, youtube pet influencer, youtube people with pet influencer"
influence,FALSE,,30301,70800,0.008511735809828615,55000.0,informational,67.0,2024-06-18,,,,,,left_only,influence,"over the influence, above the influence, influence line, power of influence, how to influence, how to influence, influence on, open influence, what is influence, what is influence, influence marketing, strong influence, big influence, influence training, what is under the influence, what is under the influence, how to influence women, how to influence women, how to have influence, how to have influence, what does influence, what does influence, are influence of, are influence of, how to influence book, how to influence book, influence book, social influence, women of influence, influence at work, what influence, what is an influence, what is an influence, what influence, drug influence, how to influence people, how to influence people, personal influence, government influence, brand influence, what is above the influence, what is above the influence, style influence, what is group influence, what is group influence, how to influence at work, how to influence other, how to influence at work, how to influence other, how influence, how influence, how does influence work, how does influence work, how influence people, how influence people, pet sounds influence, how media influence, how media influence, what is a influence, what is a influence"
local seo,FALSE,,4301,6500,0.004726981113814902,5983.0,informational,67.0,2024-07-24,,,,,,left_only,local seo,
keyboard cat,FALSE,,4301,6500,0.007390151002780217,6050.0,informational,73.0,2024-07-11,,,,,,left_only,keyboard cat,cat owners
pop culture dog names,FALSE,,201,500,0.00739266934658929,238.0,informational,30.0,2024-07-25,,,,,,left_only,pop culture dog names,"pop culture dog names, dog names from movies, dog names from movies, man and his dog pop culture, man and his dog pop culture, man and his dog pop culture, s dog breed names"
pop culture dog names,FALSE,,201,500,0.007686942075819866,238.0,informational,30.0,2024-07-25,,,,,,left_only,pop culture dog names,"pop culture dog names, dog names from movies, dog names from movies, man and his dog pop culture, man and his dog pop culture, man and his dog pop culture, s dog breed names"
famous dogs names,FALSE,,201,500,0.011312485642877472,334.0,informational,38.0,2024-06-29,,,,,,left_only,,
famous dogs names,FALSE,,201,500,0.007759447394638223,334.0,informational,38.0,2024-06-29,,,,,,left_only,,
famous dogs names,FALSE,,201,500,0.011643400238774452,334.0,informational,38.0,2024-06-29,,,,,,left_only,,
prospective customers,FALSE,,201,500,0.004825459887019378,360.0,informational,39.0,2024-07-21,,,,,,left_only,prospective customers,target customers
best dog movies of all time,FALSE,,201,500,0.007389595028606661,229.0,informational,39.0,2024-03-23,,,,,,left_only,best dog movies of all time,"best dog movies, best dog movies on netflix"
sales professionals,FALSE,,201,500,0.004726981113814902,295.0,informational,40.0,2024-07-23,,,,,,left_only,sales professionals,"business professionals, marketing professionals, hr professionals"
over the influence,FALSE,,201,500,0.008511735809828615,500.0,navigational,40.0,2024-07-10,,,,,,left_only,,
cartoon dogs names,FALSE,,201,500,0.007389595028606661,432.0,informational,41.0,2024-07-15,,,,,,left_only,,
marketing message,FALSE,,201,500,0.0050224174334283335,360.0,informational,42.0,2024-07-15,,,,,,left_only,,
cat owners,FALSE,,201,500,0.0050224174334283335,500.0,informational,42.0,2024-07-25,,,,,,left_only,,
above the influence,FALSE,,201,500,0.008511735809828615,444.0,informational,43.0,2023-11-14,,,,,,left_only,,
influence line,FALSE,,201,500,0.008395968174178252,292.0,informational,44.0,2023-06-21,,,,,,left_only,,
top tips,FALSE,,201,500,0.004726981113814902,209.0,informational,44.0,2024-07-24,,,,,,left_only,top tips,"top pet bloggers, top pet bloggers, top pet bloggers, top pet influencers on instagram"
is my cat happy,FALSE,,201,500,0.2659486500225821,455.0,informational,44.0,2023-07-01,,,,,,left_only,is my cat happy,"how to make a sad cat happy, what kind of cat is grumpy cat?, how can you tell if a cat is happy or unhappy?, is a cat a good pet?, how to have a happy cat, what is a cat video"
social web,FALSE,,201,500,0.004923938660223855,379.0,informational,44.0,2024-07-24,,,,,,left_only,,
business professionals,FALSE,,201,500,0.004825459887019378,445.0,informational,45.0,2024-07-09,,,,,,left_only,,
power of influence,FALSE,,201,500,0.008398388210010788,440.0,informational,47.0,2024-05-14,,,,,,left_only,,
what breed is hachi,FALSE,,201,500,0.007387863837632004,252.0,informational,48.0,2024-06-03,,,,,,left_only,what breed is hachi,"what is influence, what is influence, grumpy cat breed, s dog breed names, what breed is grumpy cat?, what is a influence, what is a influence"
best friends animal society utah,FALSE,,201,500,0.009373250462093441,299.0,transactional,49.0,2024-06-30,,,,,,left_only,best friends animal society utah,best friends animal society
marketing professionals,FALSE,,201,500,0.004726981113814902,357.0,informational,50.0,2024-07-23,,,,,,left_only,,
how to influence,FALSE,,201,500,0.008511735809828615,252.0,informational,52.0,2024-07-14,,,,,,left_only,,
how to influence,FALSE,,201,500,0.008511735809828615,252.0,informational,52.0,2024-07-14,,,,,,left_only,,
peter singer influenced by,FALSE,,201,500,0.012174764692912954,275.0,informational,54.0,2024-06-29,,,,,,left_only,peter singer influenced by,"peter rollins influenced by, peter gabriel was influenced by all of the following except, peter kreeft influenced by, peter singer influenced, peter kropotkin influenced by, peter kropotkin influenced, peter sloterdijk influenced by"
social media profiles,FALSE,,201,500,0.004825459887019378,360.0,informational,56.0,2023-09-27,,,,,,left_only,,
target consumers,FALSE,,201,500,0.004923938660223855,240.0,informational,58.0,2024-07-15,,,,,,left_only,target consumers,"target audiences, target customers"
influence on,FALSE,,201,500,0.008511735809828615,252.0,informational,58.0,2024-06-06,,,,,,left_only,,
open influence,FALSE,,201,500,0.008389959738845869,440.0,navigational,58.0,2024-02-13,,,,,,left_only,,
what is influence,FALSE,,201,500,0.008511735809828615,495.0,informational,59.0,2024-07-14,,,,,,left_only,,
what is influence,FALSE,,201,500,0.008511735809828615,495.0,informational,59.0,2024-07-14,,,,,,left_only,,
social media channels,FALSE,,201,500,0.004628502340610423,365.0,commercial,62.0,2024-07-24,,,,,,left_only,,
influence marketing,FALSE,,201,500,0.008394851813965001,432.0,informational,63.0,2024-02-13,,,,,,left_only,,
target audiences,FALSE,,201,500,0.004825459887019378,252.0,informational,63.0,2024-07-10,,,,,,left_only,,
social platform,FALSE,,201,500,0.004726981113814902,218.0,commercial,63.0,2024-07-05,,,,,,left_only,,
social sites,FALSE,,201,500,0.004825459887019378,440.0,navigational,65.0,2024-07-23,,,,,,left_only,,
site visitors,FALSE,,201,500,0.004726981113814902,292.0,informational,69.0,2024-07-25,,,,,,left_only,site visitors,
is grumpy cat dead,FALSE,,201,500,0.28636530949113465,225.0,informational,71.0,2024-06-23,,,,,,left_only,,
latest trend,FALSE,,201,500,0.004825459887019378,468.0,commercial,72.0,2024-07-04,,,,,,left_only,latest trend,
famous pets in history,FALSE,,11,50,0.14062120443628817,20.0,informational,23.0,2024-06-29,,,,,,left_only,famous pets in history,"famous pets in history, famous pets in history, famous pets names, famous pets names, famous pets names, famous dogs in mythology, famous dogs in mythology, famous dogs in mythology, famous people with pets, famous people with pets, famous people with pets, pets, famous dogs in ancient history, famous dogs in ancient history, famous dogs in ancient history, famous pets from movies, famous pets from movies, famous pets from movies"
famous pets in history,FALSE,,11,50,0.2508881285802696,20.0,informational,23.0,2024-06-29,,,,,,left_only,famous pets in history,"famous pets in history, famous pets in history, famous pets names, famous pets names, famous pets names, famous dogs in mythology, famous dogs in mythology, famous dogs in mythology, famous people with pets, famous people with pets, famous people with pets, pets, famous dogs in ancient history, famous dogs in ancient history, famous dogs in ancient history, famous pets from movies, famous pets from movies, famous pets from movies"
famous pets in history,FALSE,,11,50,0.11867206659167147,20.0,informational,23.0,2024-06-29,,,,,,left_only,famous pets in history,"famous pets in history, famous pets in history, famous pets names, famous pets names, famous pets names, famous dogs in mythology, famous dogs in mythology, famous dogs in mythology, famous people with pets, famous people with pets, famous people with pets, pets, famous dogs in ancient history, famous dogs in ancient history, famous dogs in ancient history, famous pets from movies, famous pets from movies, famous pets from movies"
peter lyn rene the influence of social media,FALSE,,11,50,0.012133976991481174,27.0,informational,28.0,2024-06-29,,,,,,left_only,,
how to make my dog a model,TRUE,Social Petworker,11,50,0.00739266934658929,35.0,informational,29.0,2024-07-02,,,,,,left_only,how to make my dog a model,"how to make my dog a model, how to make my dog a model, how to make money with my cats, how to make money with my cats, how to make money with my cats, how to make money with my cats, dog model salary, dog model salary, dog model salary, how to make a sad cat happy, how to make your dog instagram famous vox, how to make your dog instagram famous vox, can i sell my dog to a pet store, how to influence people, how to influence people"
peter buck influences,FALSE,,11,50,0.012159744733049158,27.0,informational,29.0,2024-06-29,,,,,,left_only,peter buck influences,"peter murphy influences, peter zumthor influences, peter voulkos influences, peter brook influences, peter paul rubens influences, peter green influences"
what are the cats with flat faces called?,FALSE,,11,50,0.2928445675219278,14.0,informational,29.0,2024-07-20,,,,,,left_only,what are the cats with flat faces called?,what is a cat lover called?
how to make my dog a model,TRUE,Social Petworker,11,50,0.013790839359960762,35.0,informational,29.0,2024-07-02,,,,,,left_only,how to make my dog a model,"how to make my dog a model, how to make my dog a model, how to make money with my cats, how to make money with my cats, how to make money with my cats, how to make money with my cats, dog model salary, dog model salary, dog model salary, how to make a sad cat happy, how to make your dog instagram famous vox, how to make your dog instagram famous vox, can i sell my dog to a pet store, how to influence people, how to influence people"
peter murphy influences,FALSE,,11,50,0.012165834370869679,24.0,informational,29.0,2024-06-29,,,,,,left_only,,
top pet bloggers,FALSE,,11,50,0.13374663021212319,14.0,commercial,29.0,2024-06-29,,,,,,left_only,,
top pet bloggers,FALSE,,11,50,0.4453785958717741,14.0,commercial,29.0,2024-06-29,,,,,,left_only,,
how to make my dog a model,TRUE,Social Petworker,11,50,0.00739266934658929,35.0,informational,29.0,2024-07-02,,,,,,left_only,how to make my dog a model,"how to make my dog a model, how to make my dog a model, how to make money with my cats, how to make money with my cats, how to make money with my cats, how to make money with my cats, dog model salary, dog model salary, dog model salary, how to make a sad cat happy, how to make your dog instagram famous vox, how to make your dog instagram famous vox, can i sell my dog to a pet store, how to influence people, how to influence people"
top pet bloggers,FALSE,,11,50,0.3337636879327035,14.0,commercial,29.0,2024-06-29,,,,,,left_only,,
strong influence,FALSE,,11,50,0.008392473989831768,31.0,informational,30.0,2024-06-06,,,,,,left_only,,
puppies endorsing products,FALSE,,11,50,0.2711112444137834,27.0,commercial,31.0,2024-06-29,,,,,,left_only,puppies endorsing products,"puppies endorsing products, puppies endorsing products, great products"
great ways,FALSE,,11,50,0.004726981113814902,31.0,informational,31.0,2024-07-15,,,,,,left_only,great ways,"great products, unique ways, great tool, powerful ways"
puppies endorsing products,FALSE,,11,50,0.4898019802330895,27.0,commercial,31.0,2024-06-29,,,,,,left_only,puppies endorsing products,"puppies endorsing products, puppies endorsing products, great products"
celebrity dog names puns,FALSE,,11,50,0.007385914295561561,39.0,informational,31.0,2023-09-22,,,,,,left_only,celebrity dog names puns,"s dog breed names, celebrity opinion dog, celebrity opinion dog, celebrity opinion dog"
puppies endorsing products,FALSE,,11,50,0.23536332697355095,27.0,commercial,31.0,2024-06-29,,,,,,left_only,puppies endorsing products,"puppies endorsing products, puppies endorsing products, great products"
top pet influencers on instagram,TRUE,Social Petworker,11,50,0.01217683881418709,47.0,commercial,31.0,2024-06-29,,,,,,left_only,,
big influence,FALSE,,11,50,0.008397929306260439,47.0,navigational,32.0,2024-06-06,,,,,,left_only,,
influence training,FALSE,,11,50,0.008393362965485093,24.0,informational,32.0,2024-03-18,,,,,,left_only,,
what is the cutest cat in the world?,FALSE,,11,50,0.2659486500225821,27.0,informational,33.0,2024-07-20,,,,,,left_only,what is the cutest cat in the world?,"what is under the influence, what is under the influence, what is above the influence, what is above the influence, what is the life expectancy of a ragdoll cat?, what is the cutest cat on earth?, what is the personality of a persian cat?, what is the ugliest cat in the world?, what is a cat video, what is a influence, what is the world's cutest dog?, what is a influence"
how to make money with my cats,FALSE,,11,50,0.23359023887852545,27.0,informational,33.0,2024-07-26,,,,,,left_only,,
how to make money with my cats,FALSE,,11,50,0.12177657990106223,27.0,informational,33.0,2024-07-26,,,,,,left_only,,
how to make money with my cats,FALSE,,11,50,0.0076262885899942194,27.0,informational,33.0,2024-07-26,,,,,,left_only,,
how to make money with my cats,FALSE,,11,50,0.0076262885899942194,27.0,informational,33.0,2024-07-26,,,,,,left_only,,
influence of rankin bass on peter jackson,FALSE,,11,50,0.012138632386728106,27.0,informational,34.0,2024-06-29,,,,,,left_only,influence of rankin bass on peter jackson,
peter rollins influenced by,FALSE,,11,50,0.012155616525120339,39.0,informational,34.0,2024-06-29,,,,,,left_only,,
cat names from movies and books,FALSE,,11,50,0.007686942075819866,20.0,informational,36.0,2024-07-21,,,,,,left_only,cat names from movies and books,"cat names from movies and books, dog names from movies funny, dog names from movies, dog names from movies, famous pets from movies, famous pets from movies, famous pets from movies"
famous dog owners,FALSE,,11,50,0.12738733737523628,19.0,informational,36.0,2024-06-29,,,,,,left_only,famous dog owners,"famous dog cartoon characters, famous dog cartoon characters, famous newfoundland dog owners, famous newfoundland dog owners, famous newfoundland dog owners, famous havanese dog owners, famous havanese dog owners, famous havanese dog owners, famous pet owners, famous pet owners, famous pet owners, famous boxer dog owners, famous boxer dog owners, famous boxer dog owners, famous rabbit owners, famous rabbit owners, famous rabbit owners"
pet influencers on instagram,FALSE,,11,50,0.9304546813134629,27.0,commercial,36.0,2024-05-02,,,,,,left_only,pet influencers on instagram,"key influencers, pet influences on child development, dog influencers on twitter, dog influencers on twitter, dog influencers on twitter, influencers, pet, dog influencers australia, pet influencers uk, how to put pet on instagram bio, dog brands on instagram, dog brands on instagram, dog brands on instagram"
cat names from movies and books,FALSE,,11,50,0.00739266934658929,20.0,informational,36.0,2024-07-21,,,,,,left_only,cat names from movies and books,"cat names from movies and books, dog names from movies funny, dog names from movies, dog names from movies, famous pets from movies, famous pets from movies, famous pets from movies"
dog model salary,FALSE,,11,50,0.264391708354499,12.0,informational,38.0,2024-06-29,,,,,,left_only,,
dog model salary,FALSE,,11,50,0.1409639365136211,12.0,informational,38.0,2024-06-29,,,,,,left_only,,
do cats get depressed?,FALSE,,11,50,0.2928445675219278,27.0,informational,38.0,2024-06-26,,,,,,left_only,do cats get depressed?,"do cats get lonely when left alone?, do cats get sad?, how to help a depressed cat, do cats get sad when you leave?, do cats get mad at their owners?"
dog model salary,FALSE,,11,50,0.009824718258627312,12.0,informational,38.0,2024-06-29,,,,,,left_only,,
how to make a sad cat happy,FALSE,,11,50,0.2659486500225821,16.0,informational,39.0,2024-06-23,,,,,,left_only,,
the dog agency loni edwards,FALSE,,11,50,0.011312485642877472,31.0,informational,39.0,2024-06-29,,,,,,left_only,the dog agency loni edwards,"the dog agency loni edwards, the dog agency loni edwards, dog influencer agency, dog influencer agency, dog influencer agency, the dog agency careers, the dog agency phone number, the dog agency careers, the dog agency careers, the dog agency phone number, the dog agency phone number, the dog agency address, the dog agency address, the dog agency address, the dog agency glassdoor, the dog agency glassdoor, the dog agency glassdoor, the dog agency clients, the dog agency clients, the dog agency clients"
the dog agency loni edwards,FALSE,,11,50,0.007389595028606661,31.0,informational,39.0,2024-06-29,,,,,,left_only,the dog agency loni edwards,"the dog agency loni edwards, the dog agency loni edwards, dog influencer agency, dog influencer agency, dog influencer agency, the dog agency careers, the dog agency phone number, the dog agency careers, the dog agency careers, the dog agency phone number, the dog agency phone number, the dog agency address, the dog agency address, the dog agency address, the dog agency glassdoor, the dog agency glassdoor, the dog agency glassdoor, the dog agency clients, the dog agency clients, the dog agency clients"
what animals symbolize?,FALSE,,11,50,0.2813045454451532,31.0,informational,39.0,2024-06-30,,,,,,left_only,what animals symbolize?,
